# wavelength(um) flux(mJy)
3.208421729000000000e-01 2.604337749408929415e-03
3.211424766400000075e-01 5.757693150133930821e-03
3.214427803700000141e-01 6.638146589552525005e-03
3.217430841099999661e-01 5.085824375944700791e-03
3.220433878499999736e-01 9.318734454323728336e-03
3.223436915899999811e-01 4.333796944986813629e-03
3.226439953299999885e-01 4.938138470125570320e-03
3.229442990699999960e-01 5.305987807887116436e-03
3.232446028000000027e-01 6.617733230389599534e-03
3.235449065400000102e-01 2.544954257623223848e-03
3.238452102800000176e-01 7.519114781164137201e-03
3.241455140200000251e-01 8.037835402272975466e-03
3.244458177600000326e-01 4.784556868371961716e-03
3.247461215000000401e-01 5.920429943295389338e-03
3.250464252299999912e-01 7.095828976738501048e-03
3.253467289699999987e-01 4.458338938048395962e-03
3.256470327100000062e-01 3.847539920927988463e-03
3.259473364500000137e-01 3.326222159275480598e-03
3.262476401900000211e-01 5.776226550862570593e-03
3.265479439299999731e-01 2.487950740301250047e-03
3.268482476600000353e-01 4.059322053767000157e-03
3.271485513999999872e-01 4.655722739295321301e-03
3.274488551399999947e-01 7.263370865362131674e-03
3.277491588800000022e-01 4.769925541408511285e-03
3.280494626200000097e-01 6.581725461350366839e-03
3.283497663600000172e-01 3.675772898575307805e-03
3.286500700899999683e-01 6.946743494509591277e-03
3.289503738299999758e-01 6.937921112372135574e-03
3.292506775699999833e-01 6.753099831798723904e-03
3.295509813099999907e-01 6.663469104290160698e-03
3.298512850499999982e-01 5.131457054126290114e-03
3.301515887900000057e-01 8.670989962955509209e-03
3.304518925200000123e-01 6.471597903795772537e-03
3.307521962600000198e-01 3.202279177819080357e-03
3.310525000000000273e-01 2.131605143058849013e-03
3.313528037400000348e-01 6.930691332282913099e-03
3.316531074800000423e-01 5.303382911434490962e-03
3.319534112099999934e-01 1.018958872745211013e-02
3.322537149500000009e-01 6.852658932776500324e-03
3.325540186900000084e-01 6.787939457668518313e-03
3.328543224300000158e-01 2.939633418940522554e-03
3.331546261699999678e-01 6.296379856949900315e-03
3.334549299099999753e-01 5.343548475320423694e-03
3.337552336399999819e-01 5.440393958111695849e-03
3.340555373799999894e-01 4.543258251090550801e-03
3.343558411199999969e-01 4.421969341844854927e-03
3.346561448600000044e-01 5.702463306101526568e-03
3.349564486000000119e-01 7.408877780606888501e-03
3.352567523400000193e-01 8.097090617665529330e-03
3.355570560699999705e-01 6.319957584437011985e-03
3.358573598099999780e-01 2.070373975265392234e-03
3.361576635499999854e-01 7.574777893021008256e-03
3.364579672899999929e-01 4.305062539185475906e-03
3.367582710300000004e-01 2.837272125381099224e-03
3.370585747700000079e-01 3.708463558797987000e-03
3.373588785000000145e-01 7.477789347306387953e-03
3.376591822400000220e-01 3.985290194212681367e-03
3.379594859800000295e-01 3.037937996314276409e-03
3.382597897200000370e-01 6.470438784574463788e-03
3.385600934600000445e-01 4.233115754711518942e-03
3.388603972000000519e-01 4.858019957157018454e-03
3.391607009300000031e-01 5.050208378810396720e-03
3.394610046700000106e-01 5.131779617429504600e-03
3.397613084100000180e-01 3.565288261939017142e-03
3.400616121499999700e-01 6.617005197288207061e-03
3.403619158899999775e-01 4.537352645526569403e-03
3.406622196299999850e-01 4.382849667939637053e-03
3.409625233599999916e-01 4.297231277569687168e-03
3.412628270999999991e-01 4.092669810057474392e-03
3.415631308400000066e-01 3.278510608254548396e-03
3.418634345800000141e-01 4.449698194659334853e-03
3.421637383200000215e-01 3.564502577170976585e-03
3.424640420600000290e-01 5.199170500360761858e-03
3.427643457899999802e-01 4.576026377320414895e-03
3.430646495299999876e-01 3.001860247495961517e-03
3.433649532699999951e-01 3.061778649698161832e-03
3.436652570100000026e-01 6.336624120598682852e-03
