# wavelength(um) flux(mJy)
3.694020755290980396e-01 -4.837085484638757810e-04
3.695742444992060616e-01 9.637545848793037774e-04
3.697464134693140836e-01 -8.541460520502947560e-05
3.699185824394221056e-01 -4.643807401975389728e-04
3.700907514095301831e-01 2.077246923046535514e-04
3.702629203796382051e-01 -8.524123813102109284e-05
3.704350893497462271e-01 3.978230753041221392e-05
3.706072583198542492e-01 -2.933692000357419069e-04
3.707794272899622712e-01 -1.160088444535759640e-03
3.709515962600703487e-01 -6.427328487583121395e-04
3.711237652301783707e-01 -1.919049874820806815e-04
3.712959342002863927e-01 -3.775695803279334028e-04
3.714681031703944147e-01 5.733767239770400006e-04
3.716402721405024367e-01 1.187535202045742882e-04
3.718124411106104588e-01 -3.321281449450882149e-04
3.719846100807185363e-01 -2.380824864396683326e-04
3.721567790508265583e-01 -5.701219507044269789e-05
3.723289480209345803e-01 -1.412459508995379776e-04
3.725011169910426023e-01 5.273541864403691716e-04
3.726732859611506243e-01 9.916925589713483386e-04
3.728454549312587019e-01 -6.039806746975759670e-04
3.730176239013667239e-01 2.606256060486749010e-04
3.731897928714747459e-01 1.392451938157902554e-03
3.733619618415827679e-01 5.094160798514240328e-04
3.735341308116907899e-01 -4.836065285616463600e-04
3.737062997817988119e-01 5.145570861469490713e-04
3.738784687519068894e-01 3.603504604392941181e-04
3.740506377220149115e-01 6.787018406038710218e-05
3.742228066921229335e-01 5.373596566196717781e-04
3.743949756622309555e-01 1.721895545356933257e-04
3.745671446323389775e-01 3.968116621399889491e-04
3.747393136024470550e-01 1.163739502463019548e-03
3.749114825725550770e-01 1.194273938923994362e-03
3.750836515426630990e-01 -4.458379654704657078e-04
3.752558205127711211e-01 4.489566181930022435e-04
3.754279894828791431e-01 -7.253605178715316626e-04
3.756001584529872206e-01 -6.340614649807808749e-04
3.757723274230952426e-01 -2.430234149143193809e-04
3.759444963932032646e-01 -1.326377645519541740e-04
3.761166653633112866e-01 2.526354751020374874e-04
3.762888343334193086e-01 2.738662662700471861e-04
3.764610033035273307e-01 -1.228104757730955879e-04
3.766331722736354082e-01 -6.274862656904439456e-04
3.768053412437434302e-01 8.070391925695192051e-04
3.769775102138514522e-01 1.092104808566072161e-03
3.771496791839594742e-01 1.274550219970384734e-03
3.773218481540674962e-01 1.039785762818066627e-03
3.774940171241755738e-01 7.773250022191455645e-05
3.776661860942835958e-01 -8.543952812336006244e-04
3.778383550643916178e-01 1.474163975902811159e-03
3.780105240344996398e-01 1.165056734435137523e-03
3.781826930046076618e-01 -1.095355501921329157e-04
3.783548619747156838e-01 -1.020916381589829147e-03
3.785270309448237613e-01 3.000945483415214305e-04
3.786991999149317834e-01 1.259370552861158220e-03
3.788713688850398054e-01 -2.625278368077910585e-04
3.790435378551478274e-01 -4.821455661332231047e-04
3.792157068252558494e-01 7.974987534281743418e-05
3.793878757953639269e-01 1.725159595126252621e-04
3.795600447654719489e-01 5.160331764406402531e-04
3.797322137355799709e-01 1.286972685258145309e-03
3.799043827056879929e-01 1.061509972100554354e-04
3.800765516757960150e-01 -9.928734737628902660e-04
3.802487206459040925e-01 -1.233347179635453140e-04
3.804208896160121145e-01 1.165409247162744544e-03
3.805930585861201365e-01 6.839932276371230545e-04
3.807652275562281585e-01 7.343203118331737608e-04
3.809373965263361805e-01 2.668536996312318560e-04
3.811095654964442025e-01 8.376519340249956053e-04
3.812817344665522801e-01 1.353497950152385862e-04
